0.0,0.0000,100.0000
0.001,0.0000,100.0000
0.002,0.0000,100.0000
0.003,0.0000,100.0000
0.004,0.0000,100.0000
0.005,0.0000,100.0000
0.006,0.0000,100.0000
0.007,0.0000,100.0000
0.008,0.0000,100.0000
0.009,0.0000,100.0000
0.01,0.0000,100.0000
0.011,0.0000,100.0000
0.012,0.0000,100.0000
0.013,0.0000,100.0000
0.014,0.0000,100.0000
0.015,0.0000,100.0000
0.016,0.0000,100.0000
0.017,0.0000,100.0000
0.018,0.0000,100.0000
0.019,0.0000,100.0000
0.02,0.0000,100.0000
0.021,0.0000,100.0000
0.022,0.0000,100.0000
0.023,0.0000,100.0000
0.024,0.0000,100.0000
0.025,0.0000,100.0000
0.026,0.0000,100.0000
0.027,0.0000,100.0000
0.028,0.0000,100.0000
0.029,0.0000,100.0000
0.03,0.0000,100.0000
0.031,0.0000,100.0000
0.032,0.0000,100.0000
0.033,0.0000,100.0000
0.034,0.0000,100.0000
0.035,0.0000,100.0000
0.036,0.0000,100.0000
0.037,0.0000,100.0000
0.038,0.0000,100.0000
0.039,0.0000,100.0000
0.04,0.0000,100.0000
0.041,0.0000,100.0000
0.042,0.0000,100.0000
0.043,0.0000,100.0000
0.044,0.0000,100.0000
0.045,0.0000,100.0000
0.046,0.0000,100.0000
0.047,0.0000,100.0000
0.048,0.0000,100.0000
0.049,0.0000,100.0000
0.05,0.0000,100.0000
0.051,0.0000,100.0000
0.052,0.0000,100.0000
0.053,0.0000,100.0000
0.054,0.0000,100.0000
0.055,0.0000,100.0000
0.056,0.0000,100.0000
0.057,0.0000,100.0000
0.058,0.0000,100.0000
0.059,0.0000,100.0000
0.06,0.0000,100.0000
0.061,0.0000,100.0000
0.062,0.0000,100.0000
0.063,0.0000,100.0000
0.064,0.0000,100.0000
0.065,0.0000,100.0000
0.066,0.0000,100.0000
0.067,0.0000,100.0000
0.068,0.0000,100.0000
0.069,0.0000,100.0000
0.07,0.0000,100.0000
0.071,0.0000,100.0000
0.072,0.0000,100.0000
0.073,0.0000,100.0000
0.074,0.0000,100.0000
0.075,0.0000,100.0000
0.076,0.0000,100.0000
0.077,0.0000,100.0000
0.078,0.0000,100.0000
0.079,0.0000,100.0000
0.08,0.0000,100.0000
0.081,0.0000,100.0000
0.082,0.0000,100.0000
0.083,0.0000,100.0000
0.084,0.0000,100.0000
0.085,0.0000,100.0000
0.086,0.0000,100.0000
0.087,0.0000,100.0000
0.088,0.0000,100.0000
0.089,0.0000,100.0000
0.09,0.0000,100.0000
0.091,0.0000,100.0000
0.092,0.0000,100.0000
0.093,0.0000,100.0000
0.094,0.0000,100.0000
0.095,0.0000,100.0000
0.096,0.0000,100.0000
0.097,0.0000,100.0000
0.098,0.0000,100.0000
0.099,0.0000,100.0000
0.1,0.0000,100.0000
0.101,0.0000,100.0000
0.102,0.0000,100.0000
0.103,0.0000,100.0000
0.104,0.0000,100.0000
0.105,0.0000,100.0000
0.106,0.0000,100.0000
0.107,0.0000,100.0000
0.108,0.0000,100.0000
0.109,0.0000,100.0000
0.11,0.0000,100.0000
0.111,0.0000,100.0000
0.112,0.0000,100.0000
0.113,0.0000,100.0000
0.114,0.0000,100.0000
0.115,0.0000,100.0000
0.116,0.0000,100.0000
0.117,0.0000,100.0000
0.118,0.0000,100.0000
0.119,0.0000,100.0000
0.12,0.0000,100.0000
0.121,0.0000,100.0000
0.122,0.0000,100.0000
0.123,0.0000,100.0000
0.124,0.0000,100.0000
0.125,0.0000,100.0000
0.126,0.0000,100.0000
0.127,0.0000,100.0000
0.128,0.0000,100.0000
0.129,0.0000,100.0000
0.13,0.0000,100.0000
0.131,0.0000,100.0000
0.132,0.0000,100.0000
0.133,0.0000,100.0000
0.134,0.0000,100.0000
0.135,0.0000,100.0000
0.136,0.0000,100.0000
0.137,0.0000,100.0000
0.138,0.0000,100.0000
0.139,0.0000,100.0000
0.14,0.0000,100.0000
0.141,0.0000,100.0000
0.142,0.0000,100.0000
0.143,0.0000,100.0000
0.144,0.0000,100.0000
0.145,0.0000,100.0000
0.146,0.0000,100.0000
0.147,0.0000,100.0000
0.148,0.0000,100.0000
0.149,0.0000,100.0000
0.15,0.0000,100.0000
0.151,0.0000,100.0000
0.152,0.0000,100.0000
0.153,0.0000,100.0000
0.154,0.0000,100.0000
0.155,0.0000,100.0000
0.156,0.0000,100.0000
0.157,0.0000,100.0000
0.158,0.0000,100.0000
0.159,0.0000,100.0000
0.16,0.0000,100.0000
0.161,0.0000,100.0000
0.162,0.0000,100.0000
0.163,0.0000,100.0000
0.164,0.0000,100.0000
0.165,0.0000,100.0000
0.166,0.0000,100.0000
0.167,0.0000,100.0000
0.168,0.0000,100.0000
0.169,0.0000,100.0000
0.17,0.0000,100.0000
0.171,0.0000,100.0000
0.172,0.0000,100.0000
0.173,0.0000,100.0000
0.174,0.0000,100.0000
0.175,0.0000,100.0000
0.176,0.0000,100.0000
0.177,0.0000,100.0000
0.178,0.0000,100.0000
0.179,0.0000,100.0000
0.18,0.0000,100.0000
0.181,0.0000,100.0000
0.182,0.0000,100.0000
0.183,0.0000,100.0000
0.184,0.0000,100.0000
0.185,0.0000,100.0000
0.186,0.0000,100.0000
0.187,0.0000,100.0000
0.188,0.0000,100.0000
0.189,0.0000,100.0000
0.19,0.0000,100.0000
0.191,0.0000,100.0000
0.192,0.0000,100.0000
0.193,0.0000,100.0000
0.194,0.0000,100.0000
0.195,0.0000,100.0000
0.196,0.0000,100.0000
0.197,0.0000,100.0000
0.198,0.0000,100.0000
0.199,0.0000,100.0000
0.2,0.0000,100.0000
0.201,0.0000,100.0000
0.202,0.0000,100.0000
0.203,0.0000,100.0000
0.204,0.0000,100.0000
0.205,0.0000,100.0000
0.206,0.0000,100.0000
0.207,0.0000,100.0000
0.208,0.0000,100.0000
0.209,0.0000,100.0000
0.21,0.0000,100.0000
0.211,0.0000,100.0000
0.212,0.0000,100.0000
0.213,0.0000,100.0000
0.214,0.0000,100.0000
0.215,0.0000,100.0000
0.216,0.0000,100.0000
0.217,0.0000,100.0000
0.218,0.0000,100.0000
0.219,0.0000,100.0000
0.22,0.0000,100.0000
0.221,0.0000,100.0000
0.222,0.0000,100.0000
0.223,0.0000,100.0000
0.224,0.0000,100.0000
0.225,0.0000,100.0000
0.226,0.0000,100.0000
0.227,0.0000,100.0000
0.228,0.0000,100.0000
0.229,0.0000,100.0000
0.23,0.0000,100.0000
0.231,0.0000,100.0000
0.232,0.0000,100.0000
0.233,0.0000,100.0000
0.234,0.0000,100.0000
0.235,0.0000,100.0000
0.236,0.0000,100.0000
0.237,0.0000,100.0000
0.238,0.0000,100.0000
0.239,0.0000,100.0000
0.24,0.0000,100.0000
0.241,0.0000,100.0000
0.242,0.0000,100.0000
0.243,0.0000,100.0000
0.244,0.0000,100.0000
